,Round,Day,Date,Time,Venue,Result,GF,GA,Opponent,Attendance,Captain,Formation,Referee,event_id,Manager,League Position ,squadnumber,team_name,player_id,rating,minutes_played,shotstotal,shotson,offsides,gconceded,gassists,gtotal,ptotal,pkey,paccuracy,ttotal,tblocks,tinterc,dtotal,dwon,dattempts,dsuccess,dpast,fdrawn,fcommit,red,yellow,penaltysuccess,player_name,Game,Player Position
33,Matchweek 3,Sat,17/08/2019,12:30 (21:30),Home,W,2.0,1.0,Portsmouth,"29,140",Grant Leadbitter,4_2_3_1,Michael Salisbury,167955.0,JR,9.0,2.0,Sunderland,19633,6.5,90.0,1.0,0.0,,0.0,0.0,0.0,23.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,Connor McLaughlin,Portsmouth 17/08/2019,DF
34,Matchweek 4,Tue,20/08/2019,19:45 (04:45),Away,W,2.0,1.0,Rochdale,"5,258",Grant Leadbitter,4_2_3_1,John Busby,167966.0,JR,6.0,2.0,Sunderland,19633,6.3,90.0,0.0,0.0,,0.0,0.0,0.0,18.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,Connor McLaughlin,Rochdale 20/08/2019,DF
35,Matchweek 5,Sat,24/08/2019,15:00 (00:00),Home,W,3.0,1.0,AFC Wimbledon,"29,725",Grant Leadbitter,4_2_3_1,Anthony Backhouse,167979.0,JR,4.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,AFC Wimbledon 24/08/2019,DF
36,Matchweek 6,Sat,31/08/2019,15:00 (00:00),Away,L,0.0,3.0,P'borough Utd,"10,005",Grant Leadbitter,4_2_3_1,Craig Hicks,167991.0,JR,6.0,2.0,Sunderland,19633,6.3,90.0,0.0,0.0,,0.0,0.0,0.0,29.0,1.0,70.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Connor McLaughlin,P'borough Utd 31/08/2019,DF
37,Matchweek 8,Sat,14/09/2019,15:00 (00:00),Away,W,3.0,1.0,Acc'ton Stanley,"4,164",Grant Leadbitter,4_2_3_1,Lee Swabey,168007.0,JR,6.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,Acc'ton Stanley 14/09/2019,DF
38,Matchweek 9,Tue,17/09/2019,19:45 (04:45),Home,D,1.0,1.0,Rotherham Utd,"29,078",Aiden McGeady,4_2_3_1,Ben Toner,168026.0,JR,5.0,2.0,Sunderland,19633,6.3,70.0,1.0,0.0,,0.0,0.0,0.0,5.0,0.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,Connor McLaughlin,Rotherham Utd 17/09/2019,DF
39,Matchweek 10,Sat,21/09/2019,15:00 (00:00),Away,D,1.0,1.0,Bolton,"12,026",Grant Leadbitter,4_2_3_1,Oliver Yates,168032.0,JR,5.0,2.0,Sunderland,19633,6.8,45.0,0.0,0.0,,0.0,0.0,0.0,17.0,2.0,68.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,Connor McLaughlin,Bolton 21/09/2019,DF
40,Matchweek 11,Sat,28/09/2019,15:00 (00:00),Home,W,2.0,1.0,MK Dons,"29,954",Jordan Willis,4_2_3_1,Paul Marsden,168053.0,JR,5.0,2.0,Sunderland,19633,7.3,90.0,0.0,0.0,,0.0,1.0,0.0,37.0,2.0,78.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Connor McLaughlin,MK Dons 28/09/2019,DF
41,Matchweek 12,Sat,05/10/2019,15:00 (00:00),Away,L,0.0,2.0,Lincoln City,"10,264",Jordan Willis,4_2_3_1,Brett Huxtable,168061.0,JR,6.0,2.0,Sunderland,19633,6.4,90.0,1.0,0.0,,0.0,0.0,0.0,30.0,0.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Connor McLaughlin,Lincoln City 05/10/2019,DF
42,Matchweek 14,Sat,19/10/2019,15:00 (01:00),Away,L,0.0,1.0,Wycombe,"8,395",Grant Leadbitter,4_2_3_1,Kevin Johnson,168089.0,PP,9.0,2.0,Sunderland,19633,7.1,90.0,1.0,0.0,,0.0,0.0,0.0,19.0,1.0,48.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,Connor McLaughlin,Wycombe 19/10/2019,DF
43,Matchweek 15,Tue,22/10/2019,19:45 (05:45),Home,W,5.0,0.0,Tranmere Rovers,"28,551",Max Power,4_2_3_1,Carl Boyeson,168100.0,PP,6.0,2.0,Sunderland,19633,6.9,18.0,0.0,0.0,,0.0,0.0,0.0,8.0,0.0,72.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Connor McLaughlin,Tranmere Rovers 22/10/2019,DF
44,Matchweek 16,Sat,26/10/2019,15:00 (01:00),Away,L,0.0,1.0,Shrewsbury,"8,117",Max Power,4_2_3_1,Jarred Gillett,168111.0,PP,10.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,Shrewsbury 26/10/2019,DF
