,event_id,squadnumber,team_name,player_name_x,player_id,rating,minutes_played,shotstotal,shotson,offsides,gconceded,gassists,gtotal,ptotal,pkey,paccuracy,ttotal,tblocks,tinterc,dtotal,dwon,dattempts,dsuccess,dpast,fdrawn,fcommit,red,yellow,penaltysuccess,player_name_y,Opponent
81,168007,17,Sunderland,Elliot Embleton,17838,6.6,8,0,0,,0,0,0,6,0,85,1,0,0,0,0,0,0,1,0,0,0,0,0,Elliot Embleton,Acc'ton Stanley
82,168007,8,Sunderland,Dylan McGeouch,19908,6.6,15,0,0,,0,0,0,7,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,Dylan McGeouch,Acc'ton Stanley
83,168007,22,Sunderland,Will Grigg,19915,6.5,13,1,1,,0,0,0,2,0,100,0,0,0,0,0,1,0,0,1,0,0,0,0,Will Grigg,Acc'ton Stanley
84,168026,1,Sunderland,Jon McLaughlin,19880,6.6,90,0,0,,1,0,0,5,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,Jon McLaughlin,Rotherham Utd
85,168026,2,Sunderland,Connor McLaughlin,19633,6.3,70,1,0,,0,0,0,5,0,31,3,0,0,0,0,0,0,1,0,3,0,1,0,Connor McLaughlin,Rotherham Utd
86,168026,5,Sunderland,Alim Öztürk,19896,7,90,0,0,,0,1,0,11,1,44,1,0,3,0,0,0,0,0,2,1,0,0,0,Alim √ñzt√ºrk,Rotherham Utd
87,168026,4,Sunderland,Jordan Willis,19992,6.9,90,0,0,,0,0,0,16,1,50,2,1,0,0,0,0,0,0,1,0,0,0,0,Jordan Willis,Rotherham Utd
88,168026,33,Sunderland,Denver Hume,19888,6.2,90,0,0,,0,0,0,14,0,48,0,0,1,0,0,2,2,1,1,0,0,0,0,Denver Hume,Rotherham Utd
89,168026,8,Sunderland,Dylan McGeouch,19908,6.7,90,0,0,,0,0,0,23,0,59,1,0,3,0,0,0,0,0,1,1,0,0,0,Dylan McGeouch,Rotherham Utd
90,168026,18,Sunderland,George Dobson,20436,6.7,90,0,0,,0,0,0,17,0,68,2,1,1,0,0,0,0,0,1,1,0,1,0,George Dobson,Rotherham Utd
